-99.1382700162,19.4069139814
-99.1342084872,19.4076733825
-99.1269900026,19.4059529478
-99.1589001929,19.4578308818
-99.1470037816,19.4505068019
-99.1452630982,19.4063747571
-99.1263883189,19.4248977373
-99.1767167046,19.4160936681
-99.1751033802,19.4262827733
-99.1442298924,19.4173860758
-99.1289066454,19.4229939405
-99.1308201832,19.4576572742
-99.1292253599,19.4534950058
-99.1427233583,19.4469097701
-99.1710296729,19.4050880516
-99.1764910711,19.4111053118
-99.1621128862,19.4269705941
-99.1267237955,19.4560355877
-99.1305011989,19.4517616675
-99.1239327705,19.4514844941
-99.100924537,19.448552121
-99.0869082673,19.4373400754
-99.1425157205,19.4211360601
-99.1342059648,19.4130098182
-99.1392642066,19.4647230341
-99.1555101567,19.4242055386
-99.1603113542,19.4109210672
-99.1622660405,19.4417426418
-99.1430252593,19.4619261141
-99.1531142279,19.4627020168
-99.160701555,19.4542328182
-99.1558044778,19.4387995711
-99.1285296223,19.4151332205
-99.1265906171,19.4591835125
-99.1322587289,19.4112847492
